Date,Open,High,Low,Close,Adj Close,Volume
2010-06-01,1173.152588,1185.002563,1161.302612,1173.152588,805.329468,38356455
2010-06-02,1161.302612,1185.002563,1161.302612,1161.302612,797.194702,17726754
2010-06-03,1173.152588,1196.852661,1173.152588,1173.152588,805.329468,24690873
2010-06-04,1161.302612,1185.002563,1161.302612,1161.302612,797.194702,28374410
2010-06-07,1125.752441,1149.452515,1113.902466,1125.752441,772.790955,21254172
2010-06-08,1137.602539,1149.452515,1125.752441,1137.602539,780.925537,16694056
2010-06-09,1137.602539,1161.302612,1125.752441,1137.602539,796.686584,31688748
2010-06-10,1113.902466,1149.452515,1113.902466,1113.902466,780.088928,11259468
2010-06-11,1113.902466,1149.452515,1113.902466,1113.902466,780.088928,18730971
2010-06-14,1113.902466,1137.602539,1113.902466,1113.902466,780.088928,22312187
2010-06-15,1102.052368,1137.602539,1102.052368,1102.052368,771.790222,20372318
2010-06-16,1125.752441,1149.452515,1125.752441,1125.752441,788.387878,51782586
2010-06-17,1137.602539,1149.452515,1137.602539,1137.602539,796.686584,32064275
2010-06-18,1149.452515,1161.302612,1137.602539,1149.452515,804.985535,24293195
2010-06-21,1149.452515,1173.152588,1137.602539,1149.452515,804.985535,48297362
2010-06-22,1137.602539,1161.302612,1137.602539,1137.602539,796.686584,20663456
2010-06-23,1137.602539,1149.452515,1125.752441,1137.602539,796.686584,5679312
2010-06-24,1113.902466,1149.452515,1113.902466,1113.902466,780.088928,32413430
2010-06-25,1113.902466,1137.602539,1102.052368,1113.902466,780.088928,36163422
2010-06-28,1149.452515,1149.452515,1113.902466,1149.452515,804.985535,46382809
2010-06-29,1113.902466,1149.452515,1102.052368,1113.902466,780.088928,23905010
2010-06-30,1113.902466,1137.602539,1090.202393,1113.902466,780.088928,25523150
2010-07-01,1102.052368,1113.902466,1090.202393,1102.052368,771.790222,22106491
2010-07-02,1090.202393,1113.902466,1078.352417,1090.202393,763.491272,34352245
2010-07-05,1102.052368,1113.902466,1090.202393,1102.052368,771.790222,23737289
2010-07-06,1137.602539,1137.602539,1090.202393,1137.602539,796.686584,24233069
2010-07-07,1149.452515,1149.452515,1137.602539,1149.452515,804.985535,17960930
