Model,Variable,RMSE,MAE,MAPE,R2 Score
"{'start_unit': 512, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': False}",High,"362,54647596557317","317,00235472910504","3,6309117164849884","0,8653090914570583"
"{'start_unit': 512, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': False}",Low,"316,68596985771654","279,9875603850773","3,2618362652030655","0,8967569785101804"
"{'start_unit': 32, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",Close,"326,05145140277693","278,91758303670485","3,222134362046885","0,8907626662218846"
"{'start_unit': 32, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",Open,"299,24747351208686","254,34931033884985","2,9316252410904737","0,9083799467314599"
"{'start_unit': 32, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",High,"352,03507547715634","304,37365144808615","3,487482895538854","0,8730061234057381"
"{'start_unit': 32, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",Low,"300,77655626623266","259,19874202570224","3,0126142269608414","0,9068696951192395"
"{'start_unit': 128, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",Close,"111,3219454405589","84,3550830367049","1,0422533950478554","0,987266130620538"
"{'start_unit': 128, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",Open,"128,94135864471522","108,19208233173077","1,3271177173913886","0,9829896190766102"
"{'start_unit': 128, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",High,"104,89056110734958","82,12175466323042","1,0175019305171213","0,9887258522084117"
"{'start_unit': 128, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",Low,"89,95960461799437","66,7543699727258","0,8361214971593343","0,9916689807966139"
"{'start_unit': 128, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': False}",Close,"535,5797752435615","417,5689538357526","4,719385974763809","0,705254520365137"
"{'start_unit': 128, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': False}",Open,"507,26339721734445","388,1816023425943","4,380213974202344","0,7367328894669525"
"{'start_unit': 128, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': False}",High,"515,0757488452876","398,5508932079789","4,475462671984138","0,7281351179451083"
"{'start_unit': 128, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': False}",Low,"543,159618508981","420,53174767127376","4,76988927175167","0,6962907573718617"
"{'start_unit': 512, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': False}",Close,"389,9180639960607","302,86878019253885","3,418914455057361","0,8437768008977302"
"{'start_unit': 512, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': False}",Open,"252,3488571522861","178,92764625323593","2,0230713344237143","0,9348473267840702"
"{'start_unit': 512, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': False}",High,"356,68754441597025","268,49393910063793","2,9983045759609026","0,8696272596305955"
"{'start_unit': 512, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': False}",Low,"312,314466685211","231,74311061159366","2,613803036906762","0,8995876195848204"
