Model,Variable,RMSE,MAE,MAPE,R2 Score
"{'start_unit': 512, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': False}",High,"80,45222435654394","58,23825272115385","1,1705848676464925","0,9860856594173216"
"{'start_unit': 512, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': False}",Low,"67,46098471382771","49,79324286554647","1,036157863285941","0,989987017640404"
"{'start_unit': 32, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",Close,"277,4237835885631","249,4861013190181","5,064808351251273","0,8332447173638364"
"{'start_unit': 32, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",Open,"248,76043274714942","227,84967691031804","4,648081610179026","0,8645347288433611"
"{'start_unit': 32, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",High,"276,4202150933243","251,37780039430012","5,064334714066889","0,8357421558586469"
"{'start_unit': 32, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",Low,"266,32287115137524","242,85806183982095","4,987898059772665","0,8439459561802777"
"{'start_unit': 128, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",Close,"89,36216317016031","71,94769756721524","1,5671104223370793","0,9826978701873735"
"{'start_unit': 128, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",Open,"73,21267294071072","59,143059906088205","1,2983093173986306","0,9882662214066258"
"{'start_unit': 128, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",High,"81,952147442006","62,24882083075999","1,2895664797355195","0,9855619948096768"
"{'start_unit': 128, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",Low,"74,12686657214346","58,18466024276522","1,271414126562338","0,9879104709433295"
"{'start_unit': 128, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': False}",Close,"209,84244523842224","145,28982742728365","2,7834897459982297","0,90459329513967"
"{'start_unit': 128, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': False}",Open,"192,7793086591867","128,39423583152276","2,4291021994355875","0,9186446345429479"
"{'start_unit': 128, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': False}",High,"206,92571274274374","139,33768837946099","2,621031293232097","0,9079517710548918"
"{'start_unit': 128, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': False}",Low,"204,13365700841933","139,17942349544677","2,667817734754109","0,9083173135176845"
"{'start_unit': 512, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': False}",Close,"123,6914334441061","88,29465028836908","1,763584531714044","0,9668509211317162"
"{'start_unit': 512, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': False}",Open,"89,11197789305987","65,05731670777088","1,348493834485803","0,9826164876785035"
"{'start_unit': 512, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': False}",High,"122,26867989207518","87,29741023259524","1,736132208671964","0,9678621393123155"
"{'start_unit': 512, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': False}",Low,"84,74449497311382","61,027997441429264","1,2724255125600266","0,9841991267091762"
