Date,Bollinger_Upper,SMA_7,High,SMA_30,Low,Open,Bollinger_Lower,Close,Rolling_Mean,EMA_12,EMA_26,WMA,Adj Close,SMA_14
2010-05-17,1230.1282977096112,1137.6024865714285,1161.302612,1142.7374957666666,1137.602539,1161.302612,1090.106784890389,1161.302612,1160.1175413,1155.5025713975122,1152.182785076166,1150.529804909091,797.194702,1160.4561067857142
2010-05-18,1230.9705065356452,1142.6810824285712,1196.852661,1144.7125039,1161.302612,1185.002563,1096.3745857643548,1185.002563,1163.67254615,1160.0627768266306,1154.840300140392,1156.9934501090909,813.463928,1158.7632531428571
2010-05-19,1230.3551222039796,1154.5311102857142,1173.152588,1146.6875079666668,1125.752441,1137.602539,1098.1749798960204,1137.602539,1164.26505105,1156.5933570149855,1153.454070794106,1154.8389091272727,780.925537,1160.4561067857144
2010-05-20,1231.7261006096712,1159.609706142857,1161.302612,1147.4775104,1066.502319,1113.902466,1092.0639868903293,1113.902466,1161.8950437500002,1150.0030275282438,1150.2934540750846,1149.2370825818182,764.656128,1159.6096799285713
2010-05-21,1229.1094922498514,1154.5311277142857,1090.202393,1147.0825112333334,1042.802246,1090.202393,1082.8305708501484,1090.202393,1155.97003155,1140.776275103037,1145.519371472161,1139.5416059454544,748.386963,1154.5311015714285
2010-05-24,1225.9952597156553,1147.7596782857142,1125.752441,1146.6875120666666,1090.202393,1125.752441,1080.0197911843452,1125.752441,1153.0075254500002,1138.4592522312023,1143.9573323623029,1136.525228490909,772.790955,1144.3739360714285
2010-05-25,1224.7365585709076,1142.6810824285715,1102.052368,1147.4775144999999,1042.802246,1090.202393,1071.7984753290925,1090.202393,1148.26751695,1131.0197324655558,1139.7303822611289,1126.6142955272728,748.386963,1140.1417844999999
2010-05-26,1223.4354837095211,1129.138201,1137.602539,1146.6875120666666,1090.202393,1137.602539,1070.729542890479,1137.602539,1147.0825133,1132.0342474833005,1139.5638215152926,1126.3988458727272,780.925537,1133.3703437857143
2010-05-27,1223.4354837095211,1125.7524762857142,1161.302612,1147.4775144999999,1102.052368,1149.452515,1070.729542890479,1149.452515,1147.0825133,1134.7179552341843,1140.3346372037608,1128.337937309091,789.060181,1134.216779357143
2010-05-31,1223.4354837095211,1120.6738980000002,1185.002563,1148.6625161333334,1149.452515,1185.002563,1070.729542890479,1185.002563,1147.0825133,1142.463754720468,1143.8030256029913,1136.9561301454546,813.463928,1137.602504142857
2010-06-01,1210.4779209568744,1127.44533,1185.002563,1150.6375202000002,1161.302612,1173.152588,1077.7620934431254,1173.152588,1144.1200072,1147.1901249863872,1146.073852717051,1143.4197820727275,805.329468,1143.5275180714284
2010-06-02,1207.0267113320604,1135.9096331428573,1185.002563,1153.0075275333334,1161.302612,1161.302612,1078.8433079679396,1161.302612,1142.93500965,1149.3632264636828,1147.2482557250908,1147.5134388,797.194702,1145.2203804285714
