Date,SMA_30,Rolling_Mean,Adj Close,WMA,Low,Open,SMA_7,High,EMA_26,EMA_12,Bollinger_Upper,Bollinger_Lower,Close,SMA_14
2010-05-17,779.3804769,780.89560245,477.973907,768.0859187454546,749.987061,759.07782,767.5192174285714,763.623169,777.1663370602191,773.273050021997,827.586093148266,734.205111751734,759.07782,786.0253819285715
2010-05-18,778.3198893333334,782.7137543000001,486.560272,767.4247725636365,763.623169,772.713928,764.9218664285715,777.259277,776.805812251761,773.1866191065376,824.6952140761841,740.7322945238161,772.713928,782.4540187857143
2010-05-19,776.9562764666666,781.5774078500001,463.6633,760.8133101272728,736.350891,736.350891,765.571202,763.623169,773.5525011875146,767.4966257121814,827.3149569098583,735.8398587901419,736.350891,780.1813311428572
2010-05-20,774.9866129666666,780.21379395,466.525421,756.5985073818182,731.805542,740.896301,762.9738421428572,754.53241,770.9429046153991,763.3902484466879,829.1489885338597,731.2785993661403,740.896301,776.6099635714287
2010-05-21,773.3199747666666,776.1229553000001,449.352753,748.0862536545454,690.897156,713.624023,757.1297868571429,722.714783,766.3890646491321,755.7117238799167,832.7700434197039,719.4758671802962,713.624023,773.3632681428571
2010-05-24,771.9563618666667,772.48665465,455.076965,742.2185845818182,722.714783,722.714783,749.9870517142856,736.350891,762.937798600163,750.622832043452,833.1098047615387,711.8635045384613,722.714783,766.2205330714286
2010-05-25,771.3503112666666,767.0322052,440.766357,732.79726,695.442505,699.987915,744.7923321428572,713.624023,757.9878159565366,742.8166989428322,833.1727900686767,700.8916203313233,699.987915,760.0518101428572
2010-05-26,768.4715738666666,763.6231720000001,463.6633,731.4749632909093,713.624023,736.350891,735.0522372857142,754.53241,756.2941468671837,741.8202152659181,828.6445486478344,698.6017953521657,736.350891,751.2857273571428
2010-05-27,766.653422,762.25956115,477.973907,734.780695090909,713.624023,759.07782,731.805533142857,763.623169,756.5111319447029,744.4791690075656,826.4121972145965,698.1069250854034,759.07782,748.3636997857144
2010-05-31,766.1988850666665,762.0322937,492.284485,742.2185847090909,763.623169,781.804688,729.8575177142858,786.350037,758.4751335148153,750.2287611528069,825.8569570383419,698.2076303616581,781.804688,747.7143598571428
2010-06-01,767.4109863333334,759.305069,477.973907,745.2763872545455,759.07782,759.07782,736.3509172857144,781.804688,758.5217644251275,751.5915998190992,818.3286770648272,700.2814609351728,759.07782,749.6623797142856
2010-06-02,768.0170369666668,757.0323822500001,480.83606,749.1606168909091,754.53241,763.623169,738.9482771428571,772.713928,758.9151717123952,753.4442726141906,811.2950830087783,702.7696814912218,763.623169,748.0390319999999
2010-06-03,768.9261129,756.1233063,506.595093,760.6480214181818,772.713928,804.531555,746.0910122857143,809.076904,762.4223171018406,761.3098255678295,806.2006844394833,706.0459281605166,804.531555,748.039032
2010-06-04,770.4412374000001,757.0323822500001,500.87085,769.2429122363636,781.804688,795.440796,757.7791225714285,804.531555,764.953780153221,766.5641191829429,809.335930310214,704.7288341897861,795.440796,751.2857273571428
2010-06-07,771.3503113,757.48691715,489.422424,773.5403542363637,754.53241,777.259277,771.4152484285714,781.804688,765.8947779025001,768.2104228860296,810.3529260626628,704.6209082373371,777.259277,753.2337428571428
2010-06-08,770.7442606666667,759.53233645,500.87085,779.9865223454544,772.713928,795.440796,777.2593035714286,799.986206,768.148753575308,772.4016386237208,815.0176854354661,704.0469874645339,795.440796,754.5324183571429
2010-06-09,770.7442606666667,760.6686798,506.595093,786.7632645818181,786.350037,804.531555,782.4540144285713,813.622314,770.9181582563033,777.346627030979,818.9357785319731,702.4015810680268,804.531555,756.1557660714286
2010-06-10,770.5927490333332,761.8050232,495.146759,788.3334828181818,781.804688,786.350037,785.7007097142857,809.076904,772.0904132908574,778.7322232781017,821.1904508814099,702.4195955185902,786.350037,761.0258135
